step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,center_stopped,center_accumulated_waiting_time,center_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
30.0,2,18.0,2.25,9.402239648644436,2,18.0,0.637744510585691,2,18.0
60.0,6,151.0,15.1,1.0858163552414977,6,151.0,0.08445865925779523,6,151.0
90.0,8,313.0,20.866666666666667,6.145044331399849,8,313.0,0.3221366309302023,8,313.0
120.0,12,597.0,42.642857142857146,1.2493802621843944,12,597.0,0.0008858967953612257,12,597.0
150.0,16,993.0,49.65,2.4804041736840015,16,993.0,0.19230103034948906,16,993.0
180.0,22,1559.0,64.95833333333333,0.37729218977468343,22,1559.0,0.03315805384514977,22,1559.0
210.0,20,2018.0,67.26666666666667,4.122072085289265,20,2018.0,0.162021713415275,20,2018.0
240.0,2,37.0,1.48,3.8281188432610476,2,576.0,0.09244884969184336,2,576.0
270.0,8,178.0,8.090909090909092,5.944966628327239,7,210.0,0.2940822956213684,7,210.0
300.0,16,522.0,29.0,0.39107775856064664,16,561.0,0.032640562822459446,16,561.0
330.0,10,391.0,17.772727272727273,5.188932261470252,10,430.0,0.2623144634204345,10,430.0
360.0,4,96.0,5.333333333333333,6.151296307757971,4,120.0,0.1329490394806564,4,120.0
390.0,13,374.0,22.0,3.03525665033707,13,398.0,0.22089658420856137,13,398.0
420.0,20,851.0,40.523809523809526,0.06238943920162918,20,875.0,0.004652165616237801,20,875.0
450.0,11,567.0,21.807692307692307,5.246376318142731,11,603.0,0.2417992593092115,11,603.0
480.0,15,946.0,47.3,3.1858382144628132,15,970.0,0.06199595510214467,15,970.0
510.0,17,1419.0,61.69565217391305,3.2165879279842615,17,1443.0,0.18299798705758213,17,1443.0
540.0,23,2016.0,80.64,0.08154432987006097,23,2040.0,0.006027828323967088,23,2040.0
570.0,29,2809.0,85.12121212121212,1.513670032568882,29,2833.0,0.11515673602261821,29,2833.0
600.0,27,3390.0,99.70588235294117,2.399605212255741,27,3414.0,0.0,27,3414.0
630.0,29,4233.0,120.94285714285714,2.0501443572741755,29,4257.0,0.10455478458599811,29,4257.0
660.0,3,38.0,1.1176470588235294,2.83958741516215,3,2314.0,0.09574840897396442,3,2314.0
690.0,31,588.0,16.8,1.3412717623986603,31,2864.0,0.10368693268451205,31,2864.0
720.0,11,402.0,11.166666666666666,2.2523600013795346,11,1873.0,0.05533467915766248,11,1873.0
750.0,12,718.0,20.514285714285716,3.705253091210652,12,1320.0,0.16953291298686435,12,1320.0
780.0,15,293.0,9.451612903225806,3.4277442741475745,15,953.0,0.04830608446326416,15,953.0
810.0,18,798.0,28.5,4.517538250521343,18,1401.0,0.17471072931203802,18,1401.0
840.0,22,1394.0,58.083333333333336,0.7435173381204354,22,1997.0,0.0001130157143363059,22,1997.0
870.0,26,2099.0,69.96666666666667,1.4743600538974944,26,2702.0,0.10885969766869351,26,2702.0
900.0,33,2981.0,87.67647058823529,0.126310487632199,33,3584.0,0.009237227294128611,33,3584.0
930.0,38,4053.0,96.5,0.8914422921726907,38,4656.0,0.06934651312634976,38,4656.0
960.0,46,5307.0,115.3695652173913,0.00033694861638026654,46,5910.0,2.425835971060234e-05,46,5910.0
990.0,15,986.0,18.96153846153846,2.7863834239446983,15,4291.0,0.12430806932001769,15,4291.0
1020.0,43,1834.0,38.208333333333336,0.049120710949119704,43,5146.0,0.0038576234398297374,43,5146.0
1050.0,53,3316.0,59.214285714285715,0.6915974289022607,53,6628.0,0.05162394398543437,53,6628.0
1080.0,60,5010.0,83.5,2.1698506615202072e-06,60,8322.0,1.5621675028943176e-07,60,8322.0
1110.0,65,6882.0,101.20588235294117,0.49076924707443287,65,10194.0,0.03874622776425839,65,10194.0
1140.0,72,8945.0,124.23611111111111,0.0,72,12257.0,0.0,72,12257.0
1170.0,75,11159.0,143.06410256410257,0.24585593477739154,75,14471.0,0.01885154229277632,75,14471.0
1200.0,45,7278.0,93.3076923076923,1.2777028738199974,45,13439.0,0.037411810687885495,45,13439.0
1230.0,74,9081.0,117.93506493506493,0.3084665143873296,74,15242.0,0.024767386761523243,74,15242.0
1260.0,33,1477.0,19.181818181818183,1.4621264760904524,33,12910.0,0.05155559501806976,33,12910.0
1290.0,69,2782.0,34.775,0.21028515551640772,69,14355.0,0.01578572221027504,69,14355.0
1320.0,40,3474.0,42.888888888888886,1.5226278403632358,40,12655.0,0.05385447271878109,40,12655.0
1350.0,31,466.0,5.89873417721519,1.9494000002688172,31,10173.0,0.08175324427020922,31,10173.0
1380.0,43,1658.0,22.71232876712329,1.539818246541885,43,9550.0,0.04059110474881432,43,9550.0
1410.0,25,450.0,6.521739130434782,2.442594757216264,25,6996.0,0.10312603552008406,25,6996.0
1440.0,58,1580.0,23.582089552238806,0.12901203022832192,58,8173.0,0.009903491430206178,58,8173.0
1470.0,71,3593.0,48.554054054054056,0.33409680862151636,71,10190.0,0.024932900981857953,71,10190.0
1500.0,43,2794.0,37.25333333333333,1.541604030717221,43,9787.0,0.038918319959950154,43,9787.0
1530.0,69,4493.0,62.40277777777778,0.24513984792813087,69,11486.0,0.01911645734267659,69,11486.0
1560.0,47,5464.0,75.88888888888889,1.575372035886903,47,11680.0,0.031926040843998915,47,11680.0
1590.0,68,7246.0,103.51428571428572,0.31022954073160797,68,13466.0,0.022334740153463498,68,13466.0
1620.0,73,9358.0,128.1917808219178,2.079151592406216e-05,73,15578.0,1.5071177980071658e-06,73,15578.0
1650.0,30,2386.0,31.394736842105264,1.9212511945904236,30,12673.0,0.08144622423147373,30,12673.0
1680.0,34,439.0,6.097222222222222,1.470203149867268,34,12069.0,0.04063918114603963,34,12069.0
1710.0,69,2145.0,29.791666666666668,0.24270678956348435,69,13776.0,0.017787549169225474,69,13776.0
1740.0,48,3152.0,43.77777777777778,1.297768000589025,48,14103.0,0.02831883448995519,48,14103.0
1770.0,69,4913.0,69.19718309859155,0.3322257058549447,69,15864.0,0.026472805680124056,69,15864.0
1800.0,74,7054.0,95.32432432432432,0.0003200584297338455,74,18005.0,2.3042363551752736e-05,74,18005.0
1830.0,77,9332.0,118.12658227848101,0.18106036644421553,77,20283.0,0.013035303559698742,77,20283.0
1860.0,53,9248.0,118.56410256410257,1.2238670923994237,53,20751.0,0.024404262973779265,53,20751.0
1890.0,73,11166.0,148.88,0.23951136949724913,73,22670.0,0.017243875622180382,73,22670.0
1920.0,52,12367.0,167.1216216216216,1.3329412020122207,52,23287.0,0.030562248014612384,52,23287.0
1950.0,69,14218.0,200.25352112676057,0.27523291494078256,69,25138.0,0.021719870192197368,69,25138.0
1980.0,25,1799.0,25.7,1.8489127168966926,25,19402.0,0.06400833154606927,25,19402.0
2010.0,57,1957.0,26.093333333333334,0.3783531481919213,57,20508.0,0.02790596970260586,57,20508.0
2040.0,52,1873.0,24.324675324675326,1.4393385645746881,52,20817.0,0.02933419124327479,52,20817.0
2070.0,52,3433.0,48.352112676056336,1.6997723033843266,52,21413.0,0.04878146289120006,52,21413.0
2100.0,65,5211.0,78.95454545454545,0.08216564118960251,65,23178.0,0.006396405769924227,65,23178.0
