step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,center_stopped,center_accumulated_waiting_time,center_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
30.0,2,16.0,2.0,8.892039444187045,2,16.0,0.6325278805195059,2,16.0
60.0,6,150.0,15.0,0.7387279915889343,6,150.0,0.059390769361473805,6,150.0
90.0,14,490.0,27.22222222222222,2.8910237182495155,14,490.0,0.2119828520994406,14,490.0
120.0,20,995.0,45.22727272727273,0.05045396500358414,20,995.0,0.004404540833523645,20,995.0
150.0,15,987.0,36.55555555555556,4.685099322803988,15,1001.0,0.18847019378972552,15,1001.0
180.0,5,92.0,4.380952380952381,4.748956276813766,5,195.0,0.09933249031118321,5,195.0
210.0,8,295.0,15.526315789473685,7.430092792180729,8,310.0,0.31580755724193854,8,310.0
240.0,13,617.0,38.5625,0.21413751847439877,13,632.0,0.01694236399414579,13,632.0
270.0,20,1138.0,47.416666666666664,2.2180770243415306,20,1153.0,0.16209376791110744,20,1153.0
300.0,8,396.0,15.84,4.039711591124965,8,526.0,0.09854402188543854,8,526.0
330.0,12,718.0,32.63636363636363,5.500541751196542,12,718.0,0.24263412386140695,12,718.0
360.0,19,1165.0,58.25,0.05408246515854048,19,1165.0,0.004018255530116401,19,1165.0
390.0,24,1809.0,64.60714285714286,1.8048450291641112,24,1809.0,0.13531835569592046,24,1809.0
420.0,32,2629.0,82.15625,0.00057056719633371,32,2629.0,4.1077551931872574e-05,32,2629.0
450.0,36,3642.0,91.05,1.2540149960775147,36,3642.0,0.09538046890844123,36,3642.0
480.0,18,1136.0,27.70731707317073,2.61828219915129,18,2202.0,0.06360971030955379,18,2202.0
510.0,18,1640.0,43.1578947368421,3.4912797479623365,18,1800.0,0.15611409890980196,18,1800.0
540.0,22,2235.0,69.84375,3.6991032349322643,22,2235.0,0.031211780139725614,22,2235.0
570.0,27,2969.0,95.7741935483871,1.5047816647921561,27,2969.0,0.1225235032234954,27,2969.0
600.0,7,169.0,5.28125,3.0843037138284224,7,1280.0,0.08791730453616829,7,1280.0
630.0,19,298.0,9.933333333333334,3.796073560555028,19,1425.0,0.15947128479909703,19,1425.0
