step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,center_stopped,center_accumulated_waiting_time,center_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
30.0,2,14.0,1.75,9.589639360232745,2,14.0,0.6251019857914165,2,14.0
60.0,8,149.0,14.9,0.4782284551544203,8,149.0,0.035371719548200786,8,149.0
90.0,8,313.0,20.866666666666667,5.908056922595853,8,313.0,0.31451240295410804,8,313.0
120.0,13,634.0,39.625,0.26767098831492175,13,634.0,0.020322764607723948,13,634.0
150.0,14,984.0,44.72727272727273,4.6147002082011275,14,984.0,0.21679700983415096,14,984.0
180.0,4,42.0,2.210526315789474,4.6741919835662795,3,166.0,0.08912409560932805,3,166.0
210.0,15,361.0,19.0,2.601302632437349,15,499.0,0.19445905365198604,15,499.0
240.0,13,503.0,25.15,3.753921187888338,13,641.0,0.00034874064698333404,13,641.0
270.0,17,935.0,44.523809523809526,2.5628147150505605,17,1073.0,0.18604024627081003,17,1073.0
300.0,24,1535.0,61.4,0.014997593720130929,24,1673.0,0.001102854514628814,24,1673.0
330.0,8,314.0,10.129032258064516,4.647392751943171,8,789.0,0.2045728929240409,8,789.0
360.0,27,886.0,32.81481481481482,0.0026183353474551075,27,1361.0,0.00018853542440195635,27,1361.0
390.0,18,760.0,23.75,3.8793349754885162,18,1282.0,0.16418313915045235,18,1282.0
420.0,28,1466.0,50.55172413793103,0.03930545540939711,28,1992.0,0.0028297664081639393,28,1992.0
450.0,33,2386.0,64.48648648648648,1.397774088881517,33,2912.0,0.10415284481998605,33,2912.0
480.0,14,755.0,19.86842105263158,2.4665718638297385,14,1897.0,0.07578399511912196,14,1897.0
510.0,35,1584.0,40.61538461538461,1.3236806125717233,35,2727.0,0.09773270968871721,35,2727.0
540.0,43,2746.0,63.86046511627907,2.183350447162069e-05,43,3889.0,1.6696968340653143e-06,43,3889.0
570.0,47,4091.0,80.2156862745098,0.897115341518211,47,5234.0,0.0710145257628221,47,5234.0
600.0,29,2539.0,48.82692307692308,2.048543375503561,29,4376.0,0.04343151649160117,29,4376.0
630.0,31,3445.0,70.3061224489796,2.5465315012778507,31,4626.0,0.09355692288007535,31,4626.0
660.0,9,170.0,3.953488372093023,2.8899288248832864,9,2692.0,0.08218984032691762,9,2692.0
690.0,26,391.0,9.775,3.1863105104285085,26,2860.0,0.10678035597023508,26,2860.0
720.0,30,1238.0,38.6875,0.532965521882539,30,3671.0,1.2891018254106134e-06,30,3671.0
750.0,34,2189.0,57.60526315789474,1.0025523939074996,34,4622.0,0.07486068458183989,34,4622.0
780.0,4,114.0,2.923076923076923,2.612570185291199,4,2862.0,0.07951790479737893,4,2862.0
810.0,8,317.0,8.567567567567568,3.6215981394852683,8,1649.0,0.1611212287922207,8,1649.0
840.0,32,956.0,28.11764705882353,0.018658118073634856,32,2289.0,0.0015688608137847736,32,2289.0
870.0,14,975.0,25.0,3.412375185945872,14,1892.0,0.1398442034895661,14,1892.0
900.0,36,1745.0,48.47222222222222,0.0002947293554762955,36,2663.0,2.125416497263172e-05,36,2663.0
930.0,40,2879.0,65.43181818181819,1.0073273323913563,40,3797.0,0.07316751385107259,40,3797.0
960.0,23,1525.0,33.888888888888886,2.2334776153883173,23,3079.0,0.05087690104143273,23,3079.0
990.0,26,2277.0,54.214285714285715,2.8518911344500477,26,3204.0,0.1071043703197976,26,3204.0
1020.0,30,3120.0,89.14285714285714,1.6442577588800646,30,4038.0,7.619835716013553e-07,30,4038.0
1050.0,33,4056.0,106.73684210526316,1.6436712525602069,33,4974.0,0.07985843958332543,33,4974.0
1080.0,38,5122.0,128.05,0.07175555335196156,38,6040.0,0.005427195547364305,38,6040.0
1110.0,9,240.0,5.333333333333333,3.281944612225232,9,3994.0,0.14889283795131072,9,3994.0
1140.0,33,706.0,17.21951219512195,0.14030716186000813,33,4539.0,0.010193067249415929,33,4539.0
1170.0,34,1229.0,26.148936170212767,2.4151270333495716,34,5073.0,0.07530158521418431,34,5073.0
1200.0,37,2293.0,57.325,0.8518720125189544,37,6126.0,1.0710567428574953e-06,37,6126.0
1230.0,39,3444.0,78.27272727272727,1.4115356678371538,39,7277.0,0.06675086166758282,39,7277.0
1260.0,43,4683.0,104.06666666666666,0.06702520128709509,43,8516.0,0.004825428458394176,43,8516.0
1290.0,48,6066.0,118.94117647058823,0.6603460316611315,48,9899.0,0.04843137934382538,48,9899.0
1320.0,54,7587.0,140.5,0.001552326254497366,54,11420.0,0.00011370293588313315,54,11420.0
1350.0,57,9248.0,154.13333333333333,0.4207120207167913,57,13081.0,0.03255917261302694,57,13081.0
1380.0,63,11044.0,175.3015873015873,0.000439589787837877,63,14877.0,3.195593415372815e-05,63,14877.0
1410.0,67,12984.0,188.17391304347825,0.3750447286629992,67,16817.0,0.02700106037890563,67,16817.0
