step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,center_stopped,center_accumulated_waiting_time,center_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
30.0,2,18.0,2.25,9.852788865045468,2,18.0,0.6496069332672874,2,18.0
60.0,4,116.0,14.5,3.2434545621800375,4,116.0,0.16099093915649293,4,116.0
90.0,2,16.0,1.4545454545454546,10.226257508213443,2,16.0,0.6343363120026032,2,16.0
120.0,6,149.0,14.9,1.268560449849379,6,149.0,0.0998985147057232,6,149.0
150.0,8,308.0,20.533333333333335,5.776175874707136,8,308.0,0.3075259501166923,8,308.0
180.0,14,624.0,39.0,0.05591276471961325,14,624.0,0.004064574686780126,14,624.0
210.0,20,1145.0,47.708333333333336,2.0536593133572167,20,1145.0,0.15887101777177307,20,1145.0
240.0,28,1838.0,65.64285714285714,0.004244701209757331,28,1838.0,0.0003400149239979261,28,1838.0
270.0,32,2727.0,75.75,1.3135846513276515,32,2727.0,0.10513325633373945,32,2727.0
300.0,39,3789.0,94.725,0.004060458323683148,39,3789.0,0.0003869539190878151,39,3789.0
330.0,44,5046.0,105.125,1.09231054393171,44,5046.0,0.08045134878950494,44,5046.0
360.0,23,2221.0,45.326530612244895,2.26507657829794,23,3608.0,0.06163893553769817,23,3608.0
390.0,24,2910.0,63.26086956521739,2.923532919385934,24,3169.0,0.12102355178612459,24,3169.0
420.0,14,256.0,6.564102564102564,2.7912722510151142,14,1461.0,0.06633606209872699,14,1461.0
450.0,34,1018.0,26.789473684210527,1.4216974670643616,34,2225.0,0.10294952217990944,34,2225.0
480.0,42,2144.0,51.04761904761905,0.00016295041084693476,42,3351.0,1.4070490421514106e-05,42,3351.0
510.0,46,3459.0,69.18,0.9821888726673593,46,4666.0,0.07593320204560419,46,4666.0
540.0,28,2379.0,45.75,1.817695461208918,28,4291.0,0.03436594112260884,28,4291.0
570.0,18,338.0,6.76,3.1390663426875407,18,2914.0,0.14344374099750992,18,2914.0
600.0,46,1385.0,30.108695652173914,3.8033999048250994e-05,46,3961.0,2.751136445663624e-06,46,3961.0
630.0,24,1625.0,31.862745098039216,2.8520781794386267,24,3379.0,0.12584347344010646,24,3379.0
660.0,21,360.0,8.181818181818182,2.2183688616679516,21,2305.0,0.055972086408433444,21,2305.0
690.0,40,1304.0,29.636363636363637,1.2277255386342019,40,3255.0,0.08867436593199911,40,3255.0
720.0,48,2624.0,54.666666666666664,4.2092919608229684e-05,48,4575.0,3.126211513290989e-06,48,4575.0
750.0,26,1701.0,32.094339622641506,2.7209901956899354,25,4012.0,0.11675778218652169,25,4012.0
780.0,29,2513.0,54.630434782608695,1.7993154632088397,29,4184.0,0.025955836631332503,29,4184.0
810.0,13,224.0,5.090909090909091,3.1503426746575887,12,2745.0,0.13737264471311547,12,2745.0
840.0,37,972.0,24.3,0.03494706575995536,37,3496.0,0.0027891770211679007,37,3496.0
870.0,26,1089.0,24.2,3.1858601229277195,26,3479.0,0.11905362940982536,26,3479.0
900.0,30,1929.0,55.114285714285714,1.6336022569787798,30,3941.0,0.029873950971016437,30,3941.0
930.0,35,2908.0,74.56410256410257,0.9655617397703778,35,4920.0,0.07184469465927616,35,4920.0
960.0,5,173.0,4.325,2.6669145004720582,5,3330.0,0.08607599393412779,5,3330.0
990.0,27,428.0,11.567567567567568,2.612651719505321,27,3586.0,0.09171785051122075,27,3586.0
1020.0,34,1374.0,38.166666666666664,0.07502767481135204,34,4532.0,0.005586752529977427,34,4532.0
1050.0,35,2332.0,56.8780487804878,1.848998174738464,35,5490.0,0.07633488262180413,35,5490.0
1080.0,40,3460.0,82.38095238095238,0.12825749834378558,40,6618.0,0.010495325785830307,40,6618.0
1110.0,11,387.0,8.41304347826087,2.7965580372181633,11,4679.0,0.1286987400084416,11,4679.0
1140.0,23,326.0,7.951219512195122,1.8986447642260518,23,4844.0,0.01835071932923619,23,4844.0
1170.0,39,1331.0,31.69047619047619,0.8796103485809821,39,5850.0,0.06694910125306122,39,5850.0
