step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,center_stopped,center_accumulated_waiting_time,center_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
30.0,2,16.0,2.0,10.030859210540338,2,16.0,0.6486747362532718,2,16.0
60.0,7,156.0,15.6,0.6559329116628746,7,156.0,0.052817771713341864,7,156.0
90.0,14,494.0,27.444444444444443,2.947389828474453,14,494.0,0.21498209477592967,14,494.0
120.0,12,602.0,31.68421052631579,4.148608317827726,12,602.0,2.6101663527523226e-05,12,602.0
150.0,16,1003.0,50.15,2.541384722645227,16,1003.0,0.19057141347492643,16,1003.0
180.0,4,111.0,5.285714285714286,4.322216555545129,4,178.0,0.059299589619835676,4,178.0
210.0,16,454.0,22.7,2.629106169736718,16,521.0,0.19040313500077924,16,521.0
240.0,12,428.0,20.38095238095238,4.505757825883058,12,495.0,0.10125714673317088,12,495.0
270.0,14,813.0,40.65,3.755914854178543,14,880.0,0.20937856450497092,14,880.0
300.0,21,1319.0,59.95454545454545,0.12581625108584615,21,1386.0,0.009058900188205198,21,1386.0
330.0,6,174.0,6.444444444444445,4.783648696505149,6,560.0,0.235396894205977,6,560.0
360.0,12,187.0,8.904761904761905,3.838684653217006,12,582.0,0.02594074468716435,12,582.0
390.0,18,648.0,29.454545454545453,2.3427988483987927,18,1043.0,0.1725503918786346,18,1043.0
420.0,18,1104.0,50.18181818181818,1.6154258444136422,18,1499.0,0.04638002055428726,18,1499.0
450.0,24,1745.0,62.32142857142857,1.7575102297282947,24,2140.0,0.1330993909170755,24,2140.0
480.0,30,2564.0,80.125,0.0437809682708717,30,2959.0,0.0031806546786084097,30,2959.0
510.0,27,3174.0,83.52631578947368,3.274390073497849,27,3569.0,0.11061026856935469,27,3569.0
540.0,31,4050.0,122.72727272727273,0.7657669105492018,31,4445.0,0.028769258130472226,31,4445.0
570.0,35,5032.0,129.02564102564102,0.9948342926453114,35,5427.0,0.07307291270975903,35,5427.0
600.0,5,114.0,2.85,3.0696931732495045,5,3220.0,0.11768198504640616,5,3220.0
630.0,33,687.0,17.175,0.9793929356646253,33,3794.0,0.07377197227665652,33,3794.0
660.0,44,1877.0,42.65909090909091,0.0008263177322663753,44,4984.0,5.9578258345795404e-05,44,4984.0
690.0,48,3256.0,62.61538461538461,0.7519799597832323,48,6363.0,0.05525087924360094,48,6363.0
720.0,56,4822.0,86.10714285714286,0.00014125343456396878,56,7929.0,1.017730992657865e-05,56,7929.0
750.0,61,6573.0,102.703125,0.5082861475947769,61,9680.0,0.03879024826532361,61,9680.0
780.0,44,5838.0,91.21875,1.3723402507691334,44,9406.0,0.026801938325050356,44,9406.0
810.0,59,7441.0,120.01612903225806,0.4276127205848295,59,11014.0,0.03078565302986534,59,11014.0
840.0,65,9302.0,143.1076923076923,4.156918408611079e-05,65,12875.0,3.0493206866327942e-06,65,12875.0
870.0,69,11306.0,159.2394366197183,0.33902189261744053,69,14879.0,0.026427928012578396,69,14879.0
900.0,74,13447.0,181.71621621621622,4.4304916557696806e-05,74,17020.0,3.560329072718908e-06,74,17020.0
930.0,30,3072.0,39.896103896103895,1.7659643906263154,30,14443.0,0.0786301135488547,30,14443.0
960.0,67,4083.0,52.34615384615385,0.08680299142271891,67,15819.0,0.006744125945691977,67,15819.0
990.0,50,1937.0,23.621951219512194,1.8820170338070208,50,15020.0,0.05775439158016612,50,15020.0
1020.0,75,3826.0,51.013333333333335,0.000149816173646209,75,16909.0,1.1156340984212259e-05,75,16909.0
1050.0,78,6133.0,76.6625,0.2333115345682808,78,19216.0,0.01774850935153858,78,19216.0
1080.0,82,8539.0,104.13414634146342,4.133572818872462e-06,82,21622.0,2.975934354839785e-07,82,21622.0
1110.0,84,11036.0,128.32558139534885,0.15428178718049138,84,24119.0,0.011178425256834884,84,24119.0
1140.0,52,9686.0,113.95294117647059,1.217778771408076,52,23707.0,0.03343257122915036,52,23707.0
1170.0,80,11744.0,143.21951219512195,0.25192551360794774,80,25769.0,0.018615896965177244,80,25769.0
1200.0,84,14211.0,169.17857142857142,0.0,84,28236.0,0.0,84,28236.0
1230.0,52,14366.0,171.02380952380952,1.4462297972656817,52,27721.0,0.052820316737623954,52,27721.0
1260.0,79,16337.0,206.79746835443038,0.0011499272447896393,79,29695.0,8.636463316593426e-05,79,29695.0
1290.0,81,18740.0,225.78313253012047,0.21573602325937247,81,32098.0,0.017057095966594063,81,32098.0
1320.0,85,21239.0,249.87058823529412,0.0,85,34597.0,0.0,85,34597.0
1350.0,88,23827.0,267.7191011235955,0.10022845968463416,88,37185.0,0.007215871827547457,88,37185.0
1380.0,43,5940.0,67.5,1.347341241278889,43,31158.0,0.0467307462654565,43,31158.0
1410.0,79,6053.0,64.3936170212766,0.1640853406554828,79,32872.0,0.012484769147742417,79,32872.0
1440.0,53,1980.0,21.06382978723404,1.198417861246605,53,31878.0,0.04093309647803655,53,31878.0
1470.0,54,3530.0,40.11363636363637,1.5062058563207017,53,30949.0,0.05068366462576338,53,30949.0
1500.0,52,5086.0,64.37974683544304,1.153376810543628,52,31216.0,0.02653238117025028,52,31216.0
1530.0,29,979.0,13.22972972972973,2.1753465397587015,28,22767.0,0.08883003746731112,28,22767.0
1560.0,28,1182.0,15.972972972972974,1.9289654695536433,27,16425.0,0.08436734050699696,27,16425.0
1590.0,66,2528.0,30.829268292682926,0.24142260140656235,66,17778.0,0.021577854428596603,66,17778.0
1620.0,85,4943.0,58.15294117647059,1.3175338067705422e-05,85,20195.0,1.0285880481548425e-06,85,20195.0
1650.0,53,3546.0,41.23255813953488,1.4871057433396446,52,19902.0,0.04719127776338223,52,19902.0
1680.0,75,5456.0,68.2,0.023938004669899333,75,21716.0,0.0017900900820624506,75,21716.0
1710.0,35,1668.0,20.341463414634145,1.845936982717297,35,15174.0,0.06805960719786859,35,15174.0
1740.0,72,2687.0,31.24418604651163,0.18688571689146788,72,16497.0,0.013484580968843375,72,16497.0
1770.0,90,5241.0,57.59340659340659,0.14983944584105688,90,18965.0,0.010787577094388543,90,18965.0
1800.0,93,7989.0,85.90322580645162,0.0,93,21593.0,0.0,93,21593.0
1830.0,94,10796.0,113.6421052631579,0.1011381854959982,94,24280.0,0.007281366846364161,94,24280.0
1860.0,54,6766.0,71.97872340425532,1.2298386340377578,54,23079.0,0.042042565037692,54,23079.0
1890.0,84,8832.0,94.96774193548387,0.21549220387891818,84,25033.0,0.015611325945654427,84,25033.0
1920.0,47,2500.0,27.17391304347826,1.4446134422781194,47,19848.0,0.049956401324037135,47,19848.0
1950.0,36,474.0,5.042553191489362,1.5182788990849472,36,18403.0,0.051962429373716645,36,18403.0
1980.0,52,1812.0,20.82758620689655,1.2074520273935765,52,17981.0,0.027327309938817435,52,17981.0
2010.0,76,3741.0,45.0722891566265,0.22895519800685146,76,19821.0,0.016559723964088686,76,19821.0
2040.0,54,4968.0,60.58536585365854,1.1963178879171161,54,20038.0,0.026329276285737724,54,20038.0
2070.0,25,754.0,9.921052631578947,1.8542701656186251,24,15475.0,0.070778892350744,24,15475.0
2100.0,60,1363.0,17.253164556962027,0.20805829902026754,60,16658.0,0.01662770625272773,60,16658.0
2130.0,36,1887.0,23.296296296296298,1.8645623625877277,36,12791.0,0.07465111629555644,36,12791.0
2160.0,66,3194.0,38.023809523809526,0.16054873575145134,66,14180.0,0.01216993835394804,66,14180.0
2190.0,37,3821.0,45.48809523809524,1.716334093614512,37,12115.0,0.06746812828845539,37,12115.0
2220.0,73,5349.0,60.78409090909091,0.10980622704714849,73,13699.0,0.008336702688037387,73,13699.0
2250.0,89,7915.0,87.94444444444444,0.14552910395691993,89,16265.0,0.010892247889407082,89,16265.0
2280.0,55,4088.0,46.45454545454545,1.1903974715858754,55,15002.0,0.03464252537177996,55,15002.0
