step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,center_stopped,center_accumulated_waiting_time,center_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
30.0,2,14.0,1.75,9.475559394830364,2,14.0,0.6332892079927598,2,14.0
60.0,2,36.0,5.142857142857143,6.126424481145263,2,36.0,0.45223159138230873,2,36.0
90.0,8,186.0,15.5,4.130218685162202,8,186.0,0.32348294696321034,8,186.0
120.0,4,114.0,8.76923076923077,5.72259449190464,4,114.0,0.00911783430118032,4,114.0
150.0,10,335.0,23.928571428571427,3.7629970327639755,10,335.0,0.27541758484926115,10,335.0
180.0,4,117.0,7.8,5.871792434278339,4,117.0,0.06416001366153963,4,117.0
210.0,8,318.0,22.714285714285715,5.640998585056525,8,318.0,0.31800108487403345,8,318.0
240.0,12,605.0,43.214285714285715,1.2596018233511015,12,605.0,8.687972234807089e-05,12,605.0
270.0,16,1006.0,50.3,2.5449781330489762,16,1006.0,0.19010453419658002,16,1006.0
300.0,18,1455.0,69.28571428571429,1.4540697961625353,18,1455.0,0.00024628609717639965,18,1455.0
330.0,22,2040.0,78.46153846153847,1.9442324506080375,22,2040.0,0.14878796945604653,22,2040.0
360.0,5,117.0,4.333333333333333,3.7856412309447736,5,654.0,0.08619989670753993,5,654.0
390.0,8,320.0,13.333333333333334,5.041370010081288,8,328.0,0.26540634310004557,8,328.0
420.0,6,123.0,6.833333333333333,5.423599688911224,6,137.0,0.0820146406642086,6,137.0
450.0,14,454.0,25.22222222222222,2.716195185668725,14,468.0,0.2071632593663827,14,468.0
480.0,14,727.0,36.35,3.634452926202748,14,738.0,0.00020901258847338974,14,738.0
510.0,18,1189.0,54.04545454545455,2.296048608534159,18,1200.0,0.17153158469995813,18,1200.0
540.0,24,1819.0,69.96153846153847,0.05390199565979534,24,1830.0,0.003880665158438207,24,1830.0
570.0,22,2331.0,75.19354838709677,3.7459070883071357,22,2342.0,0.14793581608955145,22,2342.0
600.0,26,3051.0,108.96428571428571,0.8468321263743999,26,3062.0,0.03387488745561854,26,3062.0
630.0,2,18.0,0.5806451612903226,4.512596155484195,2,1401.0,0.24018808037865932,2,1401.0
660.0,22,357.0,14.28,1.4131613435888348,22,1741.0,0.0401289607198141,22,1741.0
690.0,27,1088.0,35.096774193548384,1.629134315732632,27,2472.0,0.12156838617188809,27,2472.0
720.0,34,1997.0,57.05714285714286,0.020151370928061203,34,3381.0,0.0015198559622645906,34,3381.0
750.0,39,3097.0,72.02325581395348,1.018223777844517,39,4481.0,0.07349841319556534,39,4481.0
780.0,47,4387.0,93.34042553191489,0.0003790225575734948,47,5771.0,2.8511467800577452e-05,47,5771.0
810.0,51,5858.0,106.50909090909092,0.5763650273028902,51,7242.0,0.04149496236881859,51,7242.0
840.0,19,1636.0,29.214285714285715,2.2851822639793475,19,5408.0,0.07537818080400184,19,5408.0
870.0,53,2781.0,48.78947368421053,0.7625541382646055,53,6553.0,0.056412972580976925,53,6553.0
900.0,61,4500.0,73.77049180327869,5.3788965660029535e-06,61,8272.0,3.920857385306157e-07,61,8272.0
930.0,65,6401.0,92.76811594202898,0.4058211402122927,65,10173.0,0.029603571367391866,65,10173.0
960.0,42,3914.0,55.91428571428571,1.5182155774221635,42,9443.0,0.041828515785440945,42,9443.0
990.0,24,463.0,6.8088235294117645,2.4078731069852597,24,7058.0,0.1064461304168453,24,7058.0
1020.0,34,494.0,8.098360655737705,1.6317491488322415,34,6033.0,0.04117417348568312,34,6033.0
1050.0,58,1969.0,32.278688524590166,0.4649080763576225,58,7508.0,0.03491630763111923,58,7508.0
1080.0,23,939.0,14.904761904761905,1.9106614141383986,23,5863.0,0.060581904736982925,23,5863.0
